website,page_url,title,summary,topics
www.cobeisfresh.com,https://www.cobeisfresh.com/security-policy,COBE Information Security Policy,"COBE is dedicated to excellence and information security, creating meaningful digital experiences with a focus on customer satisfaction and security.","Quality and Information Security, Digital Product Development, Innovation and Continuous Learning"
www.cobeisfresh.com,https://www.cobeisfresh.com/data-privacy,Data Privacy Notice,COBE GmbH provides this data privacy notice to inform you about the processing of your personal data. The company takes the protection of your personal data seriously and complies with EU General Data Protection Regulation (GDPR). Your data will be processed for as long as necessary to achieve the processing purposes listed below.,"Data Protection, Personal Data Processing, EU GDPR Compliance"
www.cobeisfresh.com,https://www.cobeisfresh.com/ux-accessibility-code-audit,Service Overview,"Company provides UX, Accessibility & Code Audit services to improve digital product usability and accessibility. Services include UX audit, code review, and custom services.","UX Audit, Code Review, Accessibility Audit"
www.designit.com,https://www.designit.com/report-an-incident,Wipro Digital Misconduct Reporting,"Reporting tool for workplace misconduct, available 24/7 and anonymous.","Digital Misconduct Reporting, Workplace Safety, Anonymous Reporting"
www.designit.com,https://www.designit.com/privacy,Designit Privacy Notice,"This privacy notice explains how Designit processes personal data when visiting the website, subscribing to the newsletter, or inquiring about services. The legal basis for processing is Section 6(1) of the Data Protection Act and Article 6(1)(f) of the EU General Data Protection Regulation.","Data Protection, Cookies, Newsletter Subscription"
www.designit.com,https://www.designit.com/studios/new-york,Designit NYC,"Design firm with 20 languages and 15 nationalities, focusing on healthcare, financial services, manufacturing, education, and more.","Design Firm, Healthcare Innovation, Collaborative Problem-Solving"
www.designit.com,https://www.designit.com/studios/madrid,Designit Madrid,"Designit Madrid is a studio in Copenhagen that joined forces with Spanish designers dnxgroup in 2011. The studio has grown to have over 50 thinkers and doers, and focuses on sharing knowledge and hosting events.","Design Studio, Knowledge Sharing, Collaboration"
www.designit.com,https://www.designit.com/work,Company News and Industry Insights,"Companies like Pandora, Moove Group, and LYS Technologies share updates on their projects and innovations.","Premium Air Transportation, Mobility Solutions, Customer Experience Management"
www.designit.com,https://www.designit.com/work/los-angeles-world-airports,LAX Airport Modernization,"LAX airport modernized its employee experience with a digital platform called Altitude, enhancing operations and setting a new standard for airports.","Air Travel, Airport Management, Digital Transformation"
www.designit.com,https://www.designit.com/humanity-centred-experiences-enhanced-by-genai,GenAI: Humanity-Centric Approach to Innovation,"Designit's GenAI approach focuses on human needs, innovation, and responsible business practices.","Human-Centered AI, Innovation Strategies, Responsible Business Practices"
www.designit.com,https://www.designit.com/studios/sydney,Designit Team,Designit is a service design-led agency with experience in solving business problems for top Australian and global brands.,"Service Design Agency, Business Problem Solving, Innovation"
www.designit.com,https://www.designit.com/stories/point-of-view/six-rules-for-brands-to-court-controversy-and-thrive,Courting Controversy in Branding,"Brands can intentionally court controversy to boost their image and attract new customers, but it's crucial to stay true to themselves and know their audience. Guidelines for courting controversy include staying authentic, checking the cultural temperature, and being aware of your audience.","Courting Controversy, Brand Positioning, Culture Wars"
www.designit.com,https://www.designit.com/stories/point-of-view/reimagining-mobility-through-design,Untitled,"POV: How to reimagine mobility in a world obsessed with cars As global cities grow more crowded and polluted, mobility is at a critical juncture. The private car, once a celebrated symbol of freedom, is becoming a burden, driving cities into gridlock and pushing urban spaces to the brink. Explore",
www.designit.com,https://www.designit.com/stories/point-of-view/navigating-the-complicated-relationship-between-social-media-users-platforms-and-marketers,Social Media Evolution and Marketing Strategies,"As social media users change their behavior, marketers must adapt to new trends and regulations. Trust and data sanctity are key drivers of this shift, leading to more controlled and curated spaces. Marketers should focus on quality over quantity, engaging content, and transparent marketing practices.","Social Media Evolution, Marketing Strategies, Trust and Data Sanctity"
www.designit.com,https://www.designit.com/studios/singapore,Designit Studio in Singapore,"Designit is a hub for creativity and innovation, serving clients across Southeast Asia.","Design Studio, Southeast Asia, Business Development"
www.designit.com,https://www.designit.com/dei,Designing Inclusive Culture,"The article discusses the importance of designing an inclusive culture that considers human diversity in all its forms. It provides a framework for creating an inclusive culture, including awareness programs and skills development.","Inclusive Design, Diversity, Equity, and Inclusion, Organizational Culture"
www.designit.com,https://www.designit.com/studios/oslo,Designit Oslo,"Designit Oslo is a multi-disciplinary studio with an emphasis on sustainability, diversity, and inclusion. They work with private and public sector clients to drive change with measurable positive impact.","Sustainable Design, Inclusive Public Transport, Design for Social Impact"
www.designit.com,https://www.designit.com/stories/point-of-view/the-2024-energy-transition,Untitled,"POV: Why customers are still left behind in the 2024 energy transition The energy industry is going through an already visible transformation process. But can customers benefit from this change? Date Oct 10, 2024 In Point of view By Miguel Sabel Contact info for Miguel Sabel Miguel Sabel Global Director",
www.designit.com,https://www.designit.com/studios/tel-aviv,Designit Tel Aviv,"Design firm with expertise in design-driven innovation, specializing in product strategy and brand identity.","Design Firm, Innovation Consulting, Brand Identity Design"
www.designit.com,https://www.designit.com/contact,Design Information,Company provides design services and job openings. Contact for more information.,"Design Services, Job Openings, Contact Information"
www.designit.com,https://www.designit.com/stories/point-of-view/reimagining-urban-spaces,Urban Mobility: Prioritizing People and Sustainability,"Cities are facing numerous challenges due to growing congestion, pollution, and urbanization. A shift towards prioritizing people and sustainability is necessary to create vibrant, human-centered spaces.","Sustainable Urban Design, The Future of Mobility, Challenges and Opportunities in the Mobility Sector"
www.designit.com,https://www.designit.com/stories/point-of-view/the-brand-lesson-in-coca-colas-olympic-hugging-can-design,Coca-Cola's Olympic Hugging Can Design,"Coca-Cola has launched a new design for the 2024 Paris Summer Olympic and Paralympic Games, featuring two cans placed together to create an image of two arms locked in an embrace. The design symbolizes hope and inclusivity.","Olympics, Brand Marketing, Inclusivity"
www.designit.com,https://www.designit.com/services,Shared Progress,"Company overview, highlighting shared work, innovation, brand marketing, experience, and sustainability initiatives.","Innovation & Futures, Brand & Marketing, Experience & Loyalty, Sustainability by Design"
www.designit.com,https://www.designit.com/csr,Designit Corporate Social Responsibility Report,"Designit prioritizes diversity, equity, inclusion, sustainability, and employee well-being. The company aims to act on UN Sustainable Development Goals and has implemented various initiatives to promote positive change.","Corporate Social Responsibility, Sustainability, Diversity and Inclusion, Employee Well-being"
www.designit.com,https://www.designit.com/studios/bengaluru,Designit Bengaluru,Design and technology firm specializing in business growth and change.,"Business Growth, Design-led Solutions, Technology Integration"
www.designit.com,https://www.designit.com/studios/munich,Designit Munich Studio,"Designit Munich studio opened in 2006, focusing on innovation and business growth for technology, innovation, and business in Europe.","Innovation, Business Growth, Technology"
www.designit.com,https://www.designit.com/business-sustainability,Designing Sustainable Solutions,"Company helps businesses reimagine their sustainable future through strategic design, empowering people and creating shared progress.","Sustainable Design, Corporate Social Responsibility, Innovation in Sustainability"
www.designit.com,https://www.designit.com/cookies,Designit Cookie Policy,This policy explains how Designit uses cookies and related technologies to collect information about visitors and users.,"Cookie Policy, Privacy Notice, Cookies and Related Technologies"
www.designit.com,https://www.designit.com/work/pandora,Pandora Marketing Summit,Pandora partnered with Designit to create a 3-day marketing summit focused on brand desirability and customer experience.,"Marketing Strategy, Brand Development, Customer Experience"
www.designit.com,https://www.designit.com/studios/melbourne,Designit Overview,"Designit is a Melbourne-based design studio that solves business problems with design. They have worked with top companies in Australia and worldwide, focusing on transforming home care, mental health, real estate, data trust, and bridging digital divides.","Design Studio, Business Problem Solving, Design-led Approach"
www.designit.com,https://www.designit.com/subscribe,Designit Newsletter Signup,Sign up for Designit's newsletter to receive curated content and event invitations.,"Newsletter Signup, Marketing Communications, Privacy Policy"
www.designit.com,https://www.designit.com/studios/seattle,Untitled,"S e a t t l e Ahhh the lush evergreen city of Seattle. Our studio is home to designers, developers, strategists and consultants since 2009, all on a mission to create strong connections between people and brands. Contact info 2277 158th Ct NE Bellevue, WA 98008 Get directions seattle@designit.com",
www.designit.com,https://www.designit.com/work/moove,Dantaxi Acquires HB-Care for Enhanced Mobility Services,"Dantaxi acquired HB-Care, a leading operator in Denmark, to expand its mobility services and create a corporate mobility brand.","Mobility Services, Brand Development, Acquisition Strategy"
www.designit.com,https://www.designit.com/do-no-harm,Designit's Do No Harm Framework,"A practical guide for responsible and sustainable business practices, focusing on policy, AI considerations, risk management, and brand ethics.","Sustainability, AI Ethics, Business Responsibility"
www.designit.com,https://www.designit.com/stories/point-of-view/design-the-future-with-annette-reiffenstein-lufthansa-group,Employee Experience at Lufthansa Group,"Annette Reiffenstein discusses the importance of employee experience and its connection to customer experience, highlighting the need for a human-centered approach and personalized touchpoints.","Employee Experience, Customer Experience, Human-Centered Design, Personalized Touchpoints"
www.designit.com,https://www.designit.com/studios/copenhagen,Designit Copenhagen,"Designit Copenhagen is the global HQ of Designit Denmark A/S, a studio located in Copenhagen, Denmark. The team focuses on sustainability and circularity, creating design solutions across industries.","Sustainability, Circular Economy, Design-led Approach"
www.designit.com,https://www.designit.com/stories/point-of-view/the-power-of-lifestyle-choices-in-shaping-a-sustainable-future,Empowering Lifestyle Change,Lifestyle choices significantly influence environmental impact. Empowering individuals through thoughtful design and trust-building can drive meaningful change towards sustainability.,"Sustainable Lifestyle, Energy Management, Customer Engagement"
www.designit.com,https://www.designit.com/studios/bangkok,Designit Studio in Southeast Asia,"Designit is a hub for creativity and innovation, serving clients across Malaysia, Thailand, Philippines, Indonesia, and Vietnam.","Design Studio, Southeast Asia, Innovation Hub"
www.designit.com,https://www.designit.com/,Designit: Creating a Future-Ready Terminal 4 at JFK Airport,"Designit is a call to action to make a difference, focusing on humanity-centered approach and latest technology to respond to challenges and foster connections.","Innovation, Experiences, Brand & Marketing, Diversity, Equity, and Inclusion (DEI)"
www.designit.com,https://www.designit.com/work/jfk-terminal-4,JFKIAT Terminal 4 Revamp,"Designit helped JFK International Air Terminal (JFKIAT) revamp its strategy for Terminal 4, aligning with the Port Authority of New York and New Jersey's vision for a world-class airport. The project aimed to create a unified terminal experience while differentiating it for passengers, employees, airlines, and business partners.","Terminal 4 Revamp, JFKIAT Strategy, Airport Modernization"
www.designit.com,https://www.designit.com/industries,Design Thinking for Industries,"A 30-year journey of working with visionary leaders and entrepreneurs across various industries, highlighting design and customer experience as key to innovation.","Design Thinking, Industry Insights, Innovation Strategies"
www.designit.com,https://www.designit.com/studios/aarhus,Designit Aarhus,"Designit's Danish hub in Aarhus, featuring various work highlights and team members.","Designit Denmark, Aarhus office, Danish design company"
www.designit.com,https://www.designit.com/work/epi,European Payments Initiative,"The European Payments Initiative is a movement that builds bridges between payment players across Europe, offering consumers choice and control over payment services.","Payment Services, Consumer Choice, Brand Identity"
www.designit.com,https://www.designit.com/studios/london,Designit London,"Design firm with a diverse group of designers and researchers in London, focusing on innovation and collaboration.","Design Innovation, Collaborative Problem-Solving, Premium Air Transportation"
www.designit.com,https://www.designit.com/stories,Designit News and Insights,"News articles and predictions on design, innovation, and technology from Designit.","Design, Innovation, Technology"
www.designit.com,https://www.designit.com/work/hemocue,HemoCue Brand Revitalization,"HemoCue has revitalized its brand platform to honor its legacy and support its ambition of advancing global health. The new platform emphasizes speed, accuracy, and continuity, while also highlighting the company's commitment to improving patient experiences.","Brand Revitalization, Global Health, Patient Experience"
